vector_index,stl_path,model_folder,orientation_folder,filename,features
0,json_files\1_16.12\default\model.stl,1_16.12,default,model.stl,"{'width': 30.0, 'depth': 98.0, 'height': 55.0, 'volume': 51897.74847208083, 'area': 18067.699794651144, 'aspect_xy': np.float64(0.30612244897959184), 'aspect_yz': np.float64(1.7818181818181817), 'aspect_xz': np.float64(0.5454545454545454), 'flatness': np.float64(0.30612244897959184), 'com_x': 6.966947131641944, 'com_y': 2.839503063422285e-05, 'com_z': 27.665576867237778, 'convexity': np.float64(0.4563114960255972), 'surface_to_volume': np.float64(0.34814033992960086), 'normals_std_x': 0.617588712726719, 'normals_std_y': 0.5226281978994038, 'normals_std_z': 0.5625443860702203, 'down_faces_ratio': np.float64(0.15972323379461034), 'vertices_std_x': 8.419583174100778, 'vertices_std_y': 32.62444884130233, 'vertices_std_z': 12.640534436896742}"
1,json_files\1_16.12\flat\model.stl,1_16.12,flat,model.stl,"{'width': 54.99999237060547, 'depth': 98.0, 'height': 29.99999713897705, 'volume': 51897.73638285153, 'area': 18067.697309723804, 'aspect_xy': np.float64(0.5612244119449538), 'aspect_yz': np.float64(3.2666669782003064), 'aspect_xz': np.float64(1.833333253860466), 'flatness': np.float64(0.3061224197854801), 'com_x': 0.16557700125821864, 'com_y': 2.839531496072721e-05, 'com_z': 8.033051125124338, 'convexity': np.float64(0.4563114945306475), 'surface_to_volume': np.float64(0.34814037314532814), 'normals_std_x': 0.562544387979981, 'normals_std_y': 0.5226281867157367, 'normals_std_z': 0.6175887185321084, 'down_faces_ratio': np.float64(0.13168244719592134), 'vertices_std_x': 12.640533005249962, 'vertices_std_y': 32.62444884130233, 'vertices_std_z': 8.419582183063415}"
2,json_files\1_16.12\optimal\model.stl,1_16.12,optimal,model.stl,"{'width': 54.99999237060547, 'depth': 98.0, 'height': 29.99999713897705, 'volume': 51897.73638285153, 'area': 18067.697309723804, 'aspect_xy': np.float64(0.5612244119449538), 'aspect_yz': np.float64(3.2666669782003064), 'aspect_xz': np.float64(1.833333253860466), 'flatness': np.float64(0.3061224197854801), 'com_x': 0.16557700125821864, 'com_y': 2.839531496072721e-05, 'com_z': 8.033051125124338, 'convexity': np.float64(0.4563114945306475), 'surface_to_volume': np.float64(0.34814037314532814), 'normals_std_x': 0.562544387979981, 'normals_std_y': 0.5226281867157367, 'normals_std_z': 0.6175887185321084, 'down_faces_ratio': np.float64(0.13168244719592134), 'vertices_std_x': 12.640533005249962, 'vertices_std_y': 32.62444884130233, 'vertices_std_z': 8.419582183063415}"
3,json_files\1_17.12\default\model.stl,1_17.12,default,model.stl,"{'width': 26.50002670288086, 'depth': 90.65225219726562, 'height': 53.0, 'volume': 39886.03844600129, 'area': 11337.263500920446, 'aspect_xy': np.float64(0.29232618120965104), 'aspect_yz': np.float64(1.7104198527785968), 'aspect_xz': np.float64(0.5000005038279407), 'flatness': np.float64(0.29232618120965104), 'com_x': 0.8554358692137259, 'com_y': -10.104891892286092, 'com_z': 33.51019765983974, 'convexity': np.float64(0.5011328889805956), 'surface_to_volume': np.float64(0.284241402320993), 'normals_std_x': 0.6206259434876854, 'normals_std_y': 0.43765181259439745, 'normals_std_z': 0.528413012291772, 'down_faces_ratio': np.float64(0.1759515570934256), 'vertices_std_x': 8.938365373958518, 'vertices_std_y': 30.706224567056854, 'vertices_std_z': 16.079294364192332}"
4,json_files\1_17.12\flat\model.stl,1_17.12,flat,model.stl,"{'width': 52.99999809265137, 'depth': 90.65225219726562, 'height': 26.50002670288086, 'volume': 39886.036607362425, 'area': 11337.263270579362, 'aspect_xy': np.float64(0.5846517522512257), 'aspect_yz': np.float64(3.420836258531418), 'aspect_xz': np.float64(1.9999979127149201), 'flatness': np.float64(0.29232618120965104), 'com_x': 7.010198759204977, 'com_y': -10.10489201270247, 'com_z': 12.39457757983209, 'convexity': np.float64(0.5011328811500901), 'surface_to_volume': np.float64(0.2842414096487756), 'normals_std_x': 0.528413026187931, 'normals_std_y': 0.437653836741913, 'normals_std_z': 0.6206224092168541, 'down_faces_ratio': np.float64(0.09100346020761246), 'vertices_std_x': 16.005682471478686, 'vertices_std_y': 30.704837515039003, 'vertices_std_z': 8.947260283299427}"
5,json_files\1_17.12\optimal\model.stl,1_17.12,optimal,model.stl,"{'width': 52.99999809265137, 'depth': 90.65225219726562, 'height': 26.50002670288086, 'volume': 39886.036607362425, 'area': 11337.263270579362, 'aspect_xy': np.float64(0.5846517522512257), 'aspect_yz': np.float64(3.420836258531418), 'aspect_xz': np.float64(1.9999979127149201), 'flatness': np.float64(0.29232618120965104), 'com_x': 7.010198759204977, 'com_y': -10.10489201270247, 'com_z': 12.39457757983209, 'convexity': np.float64(0.5011328811500901), 'surface_to_volume': np.float64(0.2842414096487756), 'normals_std_x': 0.528413026187931, 'normals_std_y': 0.437653836741913, 'normals_std_z': 0.6206224092168541, 'down_faces_ratio': np.float64(0.09100346020761246), 'vertices_std_x': 16.005682471478686, 'vertices_std_y': 30.704837515039003, 'vertices_std_z': 8.947260283299427}"
6,json_files\2_16.12\default\model.stl,2_16.12,default,model.stl,"{'width': 50.0, 'depth': 58.0, 'height': 113.0, 'volume': 58745.3544842171, 'area': 24856.05756257856, 'aspect_xy': np.float64(0.8620689655172413), 'aspect_yz': np.float64(0.5132743362831859), 'aspect_xz': np.float64(0.4424778761061947), 'flatness': np.float64(0.4424778761061947), 'com_x': -12.946992918188473, 'com_y': -9.867503058617687e-09, 'com_z': 59.78225288623187, 'convexity': np.float64(0.31236729048050993), 'surface_to_volume': np.float64(0.4231152876821357), 'normals_std_x': 0.6029412535519417, 'normals_std_y': 0.519876212863149, 'normals_std_z': 0.6041432823609492, 'down_faces_ratio': np.float64(0.18399253731343285), 'vertices_std_x': 21.48371932228721, 'vertices_std_y': 20.899403189522953, 'vertices_std_z': 26.133676952014074}"
7,json_files\2_16.12\flat\model.stl,2_16.12,flat,model.stl,"{'width': 113.0, 'depth': 58.0, 'height': 50.0, 'volume': 58745.35448234717, 'area': 24856.057562973685, 'aspect_xy': np.float64(1.9482758620689655), 'aspect_yz': np.float64(1.16), 'aspect_xz': np.float64(2.26), 'flatness': np.float64(0.4424778761061947), 'com_x': -3.282252885938412, 'com_y': -9.86755209515512e-09, 'com_z': 12.053007080913218, 'convexity': np.float64(0.31236729047056694), 'surface_to_volume': np.float64(0.42311528770233003), 'normals_std_x': 0.6041432824551325, 'normals_std_y': 0.5198762129324698, 'normals_std_z': 0.6029412533736563, 'down_faces_ratio': np.float64(0.17), 'vertices_std_x': 26.133676952014074, 'vertices_std_y': 20.899403189522953, 'vertices_std_z': 21.483719320461997}"
8,json_files\2_16.12\optimal\model.stl,2_16.12,optimal,model.stl,"{'width': 50.0, 'depth': 113.0, 'height': 58.0, 'volume': 58745.3544842171, 'area': 24856.05756257856, 'aspect_xy': np.float64(0.4424778761061947), 'aspect_yz': np.float64(1.9482758620689655), 'aspect_xz': np.float64(0.8620689655172413), 'flatness': np.float64(0.4424778761061947), 'com_x': -12.946992918188473, 'com_y': -3.2822528862318543, 'com_z': 28.9999999901325, 'convexity': np.float64(0.31236729048050993), 'surface_to_volume': np.float64(0.4231152876821357), 'normals_std_x': 0.6029412535519417, 'normals_std_y': 0.6041432823609492, 'normals_std_z': 0.519876212863149, 'down_faces_ratio': np.float64(0.1376492537313433), 'vertices_std_x': 21.48371932228721, 'vertices_std_y': 26.133676952014074, 'vertices_std_z': 20.899403189522953}"
9,json_files\2_17.12\default\model.stl,2_17.12,default,model.stl,"{'width': 19.999998092651367, 'depth': 59.33174514770508, 'height': 10.00241470336914, 'volume': 5885.165717729763, 'area': 3151.3249278753283, 'aspect_xy': np.float64(0.33708764242248074), 'aspect_yz': np.float64(5.931742174989026), 'aspect_xz': np.float64(1.999516985225049), 'flatness': np.float64(0.16858453562200723), 'com_x': 1.0953410052262638, 'com_y': -0.06278157378070577, 'com_z': 5.002414703638471, 'convexity': np.float64(0.6357716436582113), 'surface_to_volume': np.float64(0.5354691913571077), 'normals_std_x': 0.6620550627868281, 'normals_std_y': 0.48643964855495964, 'normals_std_z': 0.5701045593155585, 'down_faces_ratio': np.float64(0.16490891658676893), 'vertices_std_x': 5.873785306305389, 'vertices_std_y': 19.909375475976347, 'vertices_std_z': 3.321216880278435}"
